intensity,counts
88,2
89,7
90,53
91,307
92,2128
93,10475
94,42758
95,160536
96,460423
97,1071418
98,2274209
99,3664210
100,5316991
101,6376868
102,6422429
103,5598763
104,3938155
105,2457620
106,1602975
107,1027794
108,759740
109,614353
110,514866
111,470779
112,409268
113,350779
114,324172
115,294077
116,234996
117,211045
118,194500
119,180399
120,157460
121,134305
122,124953
123,114059
124,90989
125,78947
126,52133
127,60365
128,64540
129,55555
130,51784
131,44491
132,39330
133,35293
134,30925
135,28746
136,25270
137,21318
138,20118
139,17024
140,15567
141,13798
142,12159
143,11059
144,9793
145,8379
146,7728
147,6589
148,6003
149,5245
150,4657
151,4250
152,3749
153,3201
154,2958
155,2600
156,2315
157,2114
158,1805
159,1726
160,1476
161,1238
162,1164
163,1018
164,959
165,801
166,751
167,652
168,581
169,508
170,455
171,402
172,373
173,301
174,294
175,238
176,218
177,202
178,192
179,142
180,128
181,99
182,107
183,93
184,105
185,80
186,67
187,50
188,61
189,47
190,38
191,37
192,42
193,31
194,30
195,29
196,25
197,23
198,18
199,16
200,15
201,14
202,10
203,6
204,4
205,5
206,7
207,5
208,7
209,5
210,5
211,1
213,4
214,2
215,2
216,2
217,3
219,2
220,1
221,1
224,1
226,1
228,1
235,1
237,1
240,1
241,2
249,1
585,1
664,1
1873,1
2028,1
